total_events,file_created,file_modified,file_deleted,file_renamed,unique_files_modified,process_events,network_events,established_connections,unique_remote_ips,label
135,5,79,7,47,49,4,6,6,2,1
148,2,156,9,42,72,1,3,4,4,1
220,1,93,8,30,33,3,6,7,2,1
77,4,127,4,43,69,4,1,3,0,1
261,5,80,1,44,56,7,5,1,2,1
221,4,75,8,19,35,6,9,5,2,1
113,6,82,0,40,79,4,5,5,1,1
258,28,106,1,39,61,2,0,6,2,1
256,11,96,5,38,57,6,5,2,3,1
139,29,82,1,59,70,1,5,1,3,1
75,10,175,7,64,68,6,3,7,4,1
267,16,137,3,33,54,6,13,2,4,1
288,26,160,8,58,73,3,3,4,1,1
288,30,213,8,38,95,7,14,4,3,1
168,11,83,9,51,67,5,2,5,2,1
120,11,121,1,40,64,2,5,7,1,1
101,14,129,2,19,46,6,8,7,3,1
200,10,179,7,51,70,6,7,3,1,1
77,16,88,3,42,53,6,3,6,1,1
166,1,77,2,18,47,5,39,9,4,1
49,2,90,3,21,47,2,32,19,3,1
96,1,84,0,17,51,2,25,6,3,1
184,1,35,4,5,21,5,18,12,4,1
121,4,50,0,16,35,5,15,7,4,1
87,1,31,3,7,16,2,39,12,1,1
120,0,90,2,17,54,2,37,14,2,1
93,3,78,0,17,40,5,36,10,3,1
159,3,76,2,7,47,2,31,6,4,1
135,4,36,0,10,31,3,12,14,3,1
98,4,25,3,5,21,4,18,19,2,1
123,3,42,4,14,30,3,26,8,4,1
120,3,22,0,9,22,2,33,14,4,1
148,2,84,2,17,59,4,14,5,4,1
55,1,51,0,11,34,2,27,17,2,1
121,4,59,4,11,39,2,17,7,4,1
147,4,46,3,10,24,2,34,8,1,1
40,3,90,2,6,56,5,18,19,4,1
175,2,53,0,15,42,5,19,18,3,1
142,2,36,0,6,20,2,30,9,4,1
95,1,37,4,7,32,3,17,13,1,1
154,2,67,0,6,44,4,17,7,3,1
56,2,64,1,10,37,4,14,7,4,1
82,3,22,4,5,13,5,35,5,1,1
122,1,79,2,5,45,3,27,12,1,1
153,3,26,3,7,21,2,24,12,4,1
158,4,64,1,7,40,3,33,18,2,1
112,1,70,1,23,51,4,33,9,3,1
152,2,47,0,9,36,5,35,19,2,1
134,1,51,3,11,32,5,32,11,4,1
128,1,12,1,5,10,2,34,8,1,1
155,4,45,1,14,31,3,29,19,2,1
60,0,38,0,15,34,5,21,19,3,1
130,1,17,3,5,13,4,31,12,3,1
79,1,21,0,5,12,5,26,12,3,1
100,4,32,4,9,20,5,36,17,2,1
112,2,39,0,12,38,5,28,18,3,1
147,3,62,4,15,37,5,38,17,2,1
161,0,67,1,9,37,5,24,6,3,1
91,0,51,0,11,40,3,17,9,3,1
104,0,19,1,5,10,2,24,5,2,1
138,4,62,0,21,47,3,35,17,1,1
120,4,52,2,18,47,3,24,12,1,1
93,4,36,0,11,24,2,33,7,4,1
97,0,21,0,6,15,3,24,9,2,1
173,2,46,1,8,29,2,34,18,2,1
174,3,36,2,7,22,4,21,7,1,1
186,3,79,2,20,44,5,17,12,1,1
110,2,43,0,7,26,5,13,17,2,1
151,3,30,2,8,23,5,39,8,1,1
67,4,36,2,10,35,5,33,19,3,1
84,1,47,3,7,40,4,19,17,1,1
69,1,30,1,6,25,2,30,17,3,1
165,4,65,4,18,43,3,33,14,1,1
147,3,83,1,22,55,4,17,14,4,1
45,2,20,1,7,18,4,26,8,3,1
120,0,15,4,5,13,5,31,12,2,1
61,0,63,2,17,44,4,19,7,1,1
126,0,38,0,7,21,2,18,11,2,1
164,4,42,3,11,28,3,34,16,2,1
151,0,63,1,18,54,3,39,11,3,1
64,2,97,1,14,50,4,20,15,1,1
174,0,59,1,13,30,3,27,10,3,1
55,0,38,1,7,20,2,36,14,4,1
147,2,29,1,6,15,5,22,8,3,1
98,2,21,3,5,11,5,22,18,3,1
102,4,42,3,9,26,5,14,14,4,1
67,4,56,4,20,45,3,19,11,1,1
68,2,60,3,19,46,3,29,7,1,1
60,4,77,3,24,51,2,15,19,4,1
189,1,15,3,5,11,3,22,7,3,1
180,2,71,3,10,43,5,29,19,4,1
186,3,32,0,8,18,2,13,6,2,1
187,2,18,1,6,14,2,21,6,1,1
176,1,81,3,23,51,3,39,19,4,1
124,4,74,2,6,44,4,29,14,2,1
99,0,17,4,5,11,4,20,12,1,1
158,4,23,1,6,20,5,26,5,3,1
104,3,43,1,14,37,5,13,16,3,1
79,1,45,4,7,35,5,12,14,3,1
88,1,111,3,10,58,5,34,17,2,1
79,0,63,0,14,51,4,14,10,4,1
61,0,73,1,15,54,4,18,6,4,1
128,1,46,0,16,35,3,18,14,4,1
59,3,44,0,7,43,5,13,12,2,1
169,0,49,1,17,36,4,21,9,4,1
164,4,38,4,6,29,5,23,6,4,1
189,3,33,3,9,21,5,33,13,4,1
187,1,79,2,11,42,5,22,15,4,1
188,2,27,3,6,14,2,22,11,2,1
85,3,16,0,6,16,4,21,6,1,1
66,3,76,2,18,54,4,20,5,1,1
138,0,67,2,18,40,3,39,11,4,1
180,2,68,2,9,49,2,38,10,3,1
134,1,38,3,15,34,2,17,11,1,1
126,2,35,2,10,29,3,25,7,4,1
166,1,107,0,21,55,3,38,8,2,1
68,2,17,2,7,17,2,36,16,4,1
148,3,37,3,7,29,3,28,10,3,1
180,4,75,3,24,54,4,30,17,2,1
310,38,165,15,56,62,3,8,3,2,1
138,44,316,13,43,67,2,9,2,2,1
197,38,132,5,73,57,4,5,0,1,1
164,25,165,10,74,47,2,7,2,2,1
495,20,57,2,34,23,4,8,4,0,1
153,39,220,16,42,73,2,9,2,1,1
314,42,142,17,57,60,3,8,1,0,1
128,54,242,3,49,73,2,2,3,0,1
307,14,88,6,35,22,3,5,1,2,1
280,55,138,21,113,66,2,0,0,1,1
490,26,107,5,40,29,4,0,0,0,1
103,55,289,10,156,79,2,3,0,2,1
277,32,132,7,47,49,3,3,1,2,1
382,44,244,17,58,62,4,2,2,2,1
359,29,116,6,72,50,2,9,0,1,1
377,34,163,11,35,49,2,3,1,1,1
354,42,144,22,125,72,1,5,3,1,1
200,36,170,4,48,38,1,9,0,1,1
111,49,205,6,36,56,2,4,3,2,1
260,34,212,14,25,48,4,6,4,1,1
358,24,116,1,61,37,2,4,1,0,1
194,56,136,3,112,63,4,0,1,0,1
121,22,212,5,62,43,1,6,0,0,1
350,52,242,13,75,74,4,2,0,0,1
249,69,350,22,106,77,2,4,2,1,1
394,53,354,14,41,78,3,9,3,0,1
134,22,79,5,29,34,1,2,2,2,1
439,41,332,20,104,77,1,7,4,2,1
108,46,210,20,103,67,3,6,1,0,1
212,24,125,0,29,41,3,7,0,0,1
111,58,325,13,111,69,1,3,0,2,1
233,45,294,17,92,62,1,1,2,2,1
191,64,311,14,46,76,4,3,3,0,1
401,19,112,1,18,23,2,7,4,0,1
124,15,113,1,23,24,3,1,0,2,1
246,17,112,9,28,30,2,7,0,0,1
474,56,290,21,53,70,2,6,3,2,1
127,45,229,16,62,52,2,2,1,2,1
267,42,145,12,80,54,2,2,3,0,1
427,53,214,7,116,65,1,8,0,1,1
214,31,190,6,52,42,2,1,0,0,1
202,60,242,12,81,76,2,7,2,2,1
269,35,167,15,112,59,3,5,2,0,1
208,66,164,7,80,72,1,0,3,0,1
216,63,290,8,101,73,1,9,1,0,1
430,20,87,5,22,25,2,1,2,2,1
454,68,295,18,53,72,4,0,3,0,1
336,23,86,3,45,43,1,0,3,1,1
444,46,270,18,55,62,4,5,2,0,1
141,12,72,1,25,20,4,7,1,1,1
480,34,108,9,69,44,3,6,1,1,1
343,41,185,3,96,49,3,3,0,0,1
253,17,136,2,18,28,3,4,3,2,1
210,19,166,3,59,37,1,9,4,2,1
107,32,229,8,40,60,3,4,4,1,1
263,23,76,4,25,32,4,7,0,2,1
345,17,101,6,16,21,4,6,4,2,1
305,42,184,14,73,48,4,6,0,0,1
252,19,80,3,19,21,3,5,2,1,1
181,37,225,4,85,54,4,2,0,2,1
134,35,189,3,28,44,2,2,0,0,1
210,24,120,7,34,35,4,3,2,1,1
290,30,148,6,44,36,2,1,3,0,1
314,17,78,5,36,25,3,0,2,1,1
481,68,167,2,109,70,2,2,1,0,1
283,65,204,7,86,73,4,5,2,2,1
208,14,84,7,17,28,3,2,4,2,1
100,38,178,8,64,46,1,0,1,2,1
264,35,236,16,74,55,1,2,3,2,1
215,40,219,16,50,54,4,6,1,1,1
305,50,224,5,62,73,3,1,3,2,1
178,15,115,8,46,27,4,7,4,1,1
340,47,142,1,96,71,3,8,4,1,1
291,23,87,7,44,37,2,1,0,0,1
188,18,81,1,64,33,3,0,1,2,1
231,14,80,1,39,21,2,0,0,0,1
247,14,84,7,20,24,1,9,0,1,1
462,17,119,5,35,28,2,6,4,1,1
465,71,173,6,103,78,3,0,0,0,1
382,28,132,0,45,37,2,8,3,1,1
389,34,157,7,65,35,1,7,1,1,1
212,20,106,6,57,32,1,1,2,1,1
453,41,220,6,55,77,2,6,1,0,1
404,14,74,4,36,23,2,8,2,2,1
397,17,117,2,20,31,4,3,2,1,1
164,18,77,6,31,27,2,8,3,2,1
121,34,223,12,64,49,2,1,0,2,1
211,41,219,0,61,49,2,6,0,2,1
377,34,185,18,88,65,4,1,2,1,1
407,14,68,5,14,20,1,2,0,2,1
115,31,140,5,59,40,2,0,3,1,1
372,55,146,6,74,62,1,6,3,2,1
401,38,183,15,96,53,4,2,1,1,1
224,50,277,5,55,69,4,8,3,0,1
338,41,356,17,41,73,1,0,1,0,1
434,24,78,1,45,26,3,3,4,2,1
284,27,152,1,77,46,2,0,4,1,1
178,29,194,1,67,54,1,6,2,1,1
386,42,144,6,25,51,1,3,1,2,1
325,25,215,11,84,45,3,9,2,0,1
44,1,31,37,0,41,4,5,2,1,1
65,1,9,24,8,11,3,3,1,1,1
126,2,14,34,4,35,4,2,0,1,1
69,1,28,42,0,33,4,4,0,1,1
91,0,8,26,0,41,1,1,3,1,1
87,2,25,30,1,49,3,4,3,1,1
47,1,20,29,4,26,1,1,0,0,1
78,0,8,27,3,23,4,7,2,0,1
106,2,15,24,4,18,3,2,1,1,1
118,1,30,37,0,35,2,7,0,0,1
126,1,7,26,0,11,4,0,3,0,1
136,0,11,35,2,12,4,3,3,0,1
75,1,8,25,7,16,1,5,1,0,1
39,1,20,25,9,34,4,4,2,1,1
45,2,13,23,9,15,2,5,2,0,1
74,2,7,13,9,35,3,1,1,1,1
78,1,37,22,7,39,2,1,3,1,1
57,1,14,18,6,30,3,4,2,0,1
113,2,10,12,6,11,4,7,1,1,1
107,2,38,15,3,45,2,1,3,1,1
146,2,11,41,2,39,2,3,2,0,1
77,2,9,20,2,46,2,4,2,0,1
38,2,7,38,5,46,1,1,0,1,1
40,1,12,33,2,30,3,5,2,1,1
41,1,16,43,8,19,2,1,0,0,1
91,2,7,10,6,12,4,1,0,1,1
115,0,8,27,4,30,3,1,3,0,1
127,1,12,20,8,19,3,3,0,1,1
40,0,8,19,4,17,4,7,3,1,1
135,0,18,30,5,38,1,3,1,1,1
49,2,11,18,0,48,2,5,1,1,1
73,1,27,15,0,31,3,1,1,1,1
149,0,12,15,4,19,1,5,2,1,1
88,1,32,41,9,42,3,1,1,0,1
135,1,29,20,6,41,2,0,3,1,1
122,2,11,49,0,32,1,1,1,0,1
130,1,24,44,2,42,2,4,1,1,1
101,0,16,19,6,33,4,0,2,1,1
65,0,19,22,7,35,1,3,1,0,1
130,1,23,32,5,27,4,0,3,1,1
82,0,12,27,8,43,4,4,1,1,1
112,0,7,35,7,22,3,1,1,0,1
31,2,16,37,1,21,1,4,1,1,1
130,2,6,35,7,11,4,7,2,1,1
61,2,9,22,4,18,3,1,3,0,1
135,2,11,49,2,24,3,6,3,1,1
99,0,8,20,9,30,1,4,2,0,1
141,0,17,36,6,30,4,4,2,0,1
123,0,8,49,4,25,2,0,3,1,1
130,0,32,18,4,35,2,3,1,1,1
98,1,38,22,6,44,2,4,3,1,1
104,1,10,13,4,23,1,6,3,0,1
130,2,14,24,5,17,3,4,0,0,1
41,1,8,40,1,19,4,7,3,0,1
105,1,8,46,2,32,1,4,0,1,1
92,0,38,23,3,44,1,0,2,0,1
57,1,20,21,3,24,1,1,1,0,1
125,1,21,36,7,48,3,5,1,1,1
119,0,42,32,5,48,4,0,2,0,1
100,2,6,33,7,13,3,5,2,0,1
140,2,38,33,0,40,4,1,3,0,1
44,2,8,25,3,22,3,5,0,1,1
84,0,12,13,9,21,3,5,0,1,1
52,0,19,26,1,24,1,4,2,1,1
107,1,8,45,3,27,4,2,0,1,1
73,0,8,43,1,16,1,6,1,1,1
132,0,14,19,5,22,3,3,3,0,1
37,0,21,48,4,30,2,4,0,0,1
98,1,24,49,5,26,3,6,2,1,1
42,1,37,38,0,42,4,1,3,1,1
35,0,5,16,9,40,3,4,3,0,1
85,1,24,29,5,25,2,0,3,0,1
47,2,10,38,2,30,4,0,0,0,1
71,0,7,49,2,12,1,6,0,1,1
81,0,6,30,7,29,3,7,2,1,1
142,2,13,26,1,22,3,2,3,0,1
102,0,19,11,3,29,3,0,0,0,1
146,1,11,26,6,27,4,7,0,1,1
54,0,34,21,3,47,4,4,0,1,1
43,0,22,28,1,33,1,5,3,0,1
42,0,12,2,3,12,3,3,0,0,1
64,3,47,0,7,28,1,4,0,1,1
78,2,30,1,4,24,2,2,1,0,1
68,4,17,1,4,16,3,3,1,1,1
78,0,25,0,4,15,3,2,2,1,1
33,3,27,2,6,14,1,3,1,0,1
41,3,28,2,6,23,3,0,0,0,1
61,4,32,1,4,21,2,3,2,1,1
29,3,20,0,4,11,3,0,2,0,1
74,1,21,1,7,16,2,2,1,1,1
34,1,25,1,5,21,3,1,2,0,1
48,0,27,0,4,21,2,0,1,0,1
51,1,22,2,3,14,3,4,1,1,1
22,3,20,0,4,12,3,3,0,1,1
23,4,27,0,6,22,1,2,0,0,1
76,4,14,1,4,11,3,2,1,1,1
62,2,26,1,10,24,1,3,2,0,1
60,0,42,0,6,22,1,1,0,0,1
73,4,19,2,7,17,2,2,1,0,1
61,3,20,2,5,19,1,4,1,1,1
51,3,19,1,3,18,3,0,0,0,1
42,2,28,1,4,15,2,3,0,0,1
48,4,42,0,8,26,2,4,2,1,1
73,4,19,1,5,15,3,1,2,1,1
63,1,47,0,8,25,2,2,1,1,1
49,4,19,2,3,11,3,3,0,0,1
39,4,34,2,4,22,3,1,2,0,1
24,3,16,0,5,15,2,2,0,1,1
58,3,30,0,6,28,3,0,1,1,1
46,0,26,2,8,20,2,1,2,1,1
66,1,20,2,5,20,3,3,2,0,1
57,3,22,2,5,20,2,1,1,1,1
24,0,20,1,6,19,2,4,2,1,1
31,3,48,0,3,27,3,0,2,1,1
65,1,26,0,3,14,2,3,1,1,1
34,2,14,0,5,14,3,4,2,0,1
73,2,16,1,4,11,2,2,1,1,1
27,0,26,1,7,20,3,4,1,1,1
76,4,42,0,12,27,2,4,1,1,1
39,4,18,0,4,13,3,0,0,1,1
47,4,15,0,3,15,1,2,0,1,1
68,2,55,2,7,28,2,1,0,0,1
21,0,31,0,5,23,1,1,1,1,1
25,4,21,1,3,12,2,1,1,1,1
31,4,14,2,4,11,1,0,0,0,1
72,3,18,2,3,10,2,2,1,1,1
64,1,33,0,9,21,2,2,2,0,1
73,0,29,2,3,28,3,1,2,1,1
24,2,32,1,5,20,2,1,2,0,1
69,2,25,2,6,19,3,0,1,0,1
67,1,22,2,5,14,2,4,0,0,1
67,3,20,2,3,12,2,2,0,0,1
41,2,40,0,7,28,1,1,1,1,1
37,1,21,2,7,18,2,1,0,0,1
79,2,33,2,3,25,1,1,1,1,1
54,1,16,1,3,10,3,3,1,0,1
38,2,22,1,6,18,1,3,2,0,1
77,1,35,2,3,26,1,4,1,0,1
52,3,29,1,11,26,2,0,0,0,1
33,0,41,1,10,27,2,4,2,0,1
37,1,21,0,5,13,3,2,2,1,1
57,4,28,1,4,19,3,3,1,1,1
32,3,21,1,3,15,1,3,1,1,1
73,4,26,0,4,14,1,2,1,1,1
48,2,29,1,4,21,2,2,1,1,1
32,3,30,2,9,28,1,1,0,1,1
63,3,32,1,4,18,1,4,1,1,1
29,2,22,0,8,21,3,2,0,0,1
62,3,24,0,4,15,1,3,1,0,1
53,1,17,0,6,16,2,3,1,0,1
